birth, death, alpha
0.03673535, 0.03337989, 0.27288363
0.38730714, 0.04813157, 0.53191
0.41961183, 0.042997  , 0.57145736
0.28367177, 0.05261613, 0.49680383
0.28148923, 0.05742386, 0.48625137
0.22936201, 0.05254157, 0.45584376
0.88349402, 0.04808547, 0.66672605
0.23250562, 0.05470149, 0.44636014
0.51779422, 0.05202295, 0.55499123
0.24710267, 0.04550255, 0.47965854
0.37199103, 0.05004595, 0.5242989 
0.12334895, 0.04047899, 0.40984894
0.462198  , 0.04400975, 0.57822923
0.26704103, 0.05114126, 0.48076508
0.29199207, 0.05121921, 0.50426387
0.33641994, 0.04860569, 0.5125763 
0.25803708, 0.0403143 , 0.51400003
0.27597681, 0.0538661 , 0.48377619
0.34340593, 0.06174364, 0.49642848
0.31730468, 0.05336962, 0.50711111
0.35345296, 0.04606434, 0.51759192
0.46384514, 0.05675029, 0.54289093
0.29014406, 0.04603982, 0.50036873
0.23808912, 0.049545  , 0.47547696
0.3752312 , 0.05023214, 0.5166791 
0.30653587, 0.04506724, 0.51424817
0.29737037, 0.05469578, 0.48267269
0.30056801, 0.05465596, 0.47458412
0.35132928, 0.04069151, 0.548613
0.23975972, 0.04613945, 0.47387721
0.32249819, 0.05406984, 0.49166625
0.40969005, 0.04321275, 0.54906111
0.02335323, 0.02867125, 0.23292797
0.33326122, 0.04567416, 0.53293308
0.34778126, 0.04723855, 0.53107365
0.52690738, 0.05929388, 0.5544737 
0.21353752, 0.04789779, 0.47180726
0.36528638, 0.06016818, 0.51616749
0.44904996, 0.04656823, 0.56041399
0.33111342, 0.03962788, 0.54321431
0.42855631, 0.05589822, 0.51267141
0.39390977, 0.05517535, 0.52763769
0.22442462, 0.0514778 , 0.45936826
0.00174076, 0.01279051, 0.111159 
0.23992573, 0.04528695, 0.48501079 
0.50536564, 0.05494524, 0.58571521
0.36519492, 0.05205082, 0.52266962
0.32337309, 0.04794715, 0.49677706
0.26849264, 0.05653234, 0.48213739
0.47596611, 0.04713971, 0.56142049
0.36519492, 0.05205082, 0.52266962
0.27571078, 0.04795979, 0.48337533
0.35880156, 0.04497201, 0.53829106
0.27308999, 0.05514639, 0.48043895
0.53125647, 0.0546097 , 0.5717563 
0.42292428, 0.04861287, 0.53033611
0.50599458, 0.05952349, 0.54215775
0.50249857, 0.07064101, 0.53472581
0.29340543, 0.05377144, 0.49882381
0.39834512, 0.05020548, 0.52292184
0.47500826, 0.04764198, 0.57025945
0.54363274, 0.04838147, 0.58284227
0.25473613, 0.05057864, 0.47556678
0.42836822, 0.04767272, 0.56452226
0.42656576, 0.0492767 , 0.54526293
0.33531942, 0.0534827 , 0.50252526
0.45315135, 0.04565089, 0.56552161
0.26989165, 0.04908642, 0.47500226
0.31416345, 0.05231095, 0.50366968
0.51314975, 0.05375324, 0.56085639
0.3658787 , 0.04554399, 0.52761122
0.20043427, 0.0424952 , 0.47058469
0.34427043, 0.05228445, 0.51822167
0.15132391, 0.04583575, 0.41981603
0.18417371, 0.04061275, 0.46506675
0.19265665, 0.0539281 , 0.43015743
0.3464491 , 0.05471134, 0.51566731
0.22965521, 0.04895465, 0.45937725
0.19341379, 0.03887478, 0.48745255
0.40694033, 0.0482962 , 0.55373415
0.77571696, 0.05051995, 0.61789467
0.22333726, 0.04448375, 0.48100642
0.31409753, 0.04534002, 0.52427954
0.51407889, 0.04289625, 0.5835792
0.31769493, 0.05241986, 0.51429684
0.21539808, 0.04675203, 0.44834897
0.22811195, 0.04894425, 0.46196752
0.40560692, 0.04844198, 0.53709663
0.47390383, 0.05271448, 0.54931148
0.1731543 , 0.04379309, 0.44308952
0.31358877, 0.04952383, 0.50718084
0.39653384, 0.05387439, 0.53174203
0.27521735, 0.05278686, 0.47310649
0.36755177, 0.05713243, 0.51766772
0.33238644, 0.04157453, 0.5242218 
0.4391274 , 0.05027203, 0.54998084
0.77735687, 0.05333685, 0.61464429
0.32590465, 0.06516045, 0.48207894
0.28613307, 0.0498848 , 0.48675853
0.21814273, 0.05674049, 0.43372227
